# Column info
#------------
#   1. Redshift
#   2. Omega_m
#   3. Omega_DE
#   4. w
#   5. D_A (ang. diam. distance, in h^{-1} Mpc
#   6. D_L (luminosity distance, in h^{-1} Mpc
#   7. DM (distance modulus), in mags + 5 log h
#   8. t_l (lookback time), in h^{-1} years
#   9. 4*PI*D_L^2, in h^{-2} Mpc^2
#  10. 4*PI*D_L^2, in h^{-2} cm^2
#  11. Physical distance subtending 1 arcsec, in h^{-1} kpc
#  12. Angle subtended by 1 h^{-1} Mpc, in arcmin
#  13. Angle subtended by 1 h^{-1} COMOVING Mpc, in arcmin
#
#
#  z   Om_m Om_L  w   D_A  D_L  DM     t_l     4*PI*DL^2 4*PI*DL^2 1asec  1Mpc  1Mpc
#----- ---- ---- ---- ---- ---- ----- --------- --------- --------- ----- ----- -----
 2.350 0.30 0.70 -1.0 1179 13228 45.61 7.521e+09 2.199e+09 2.113e+58  5.71  2.92  0.87
 2.400 0.30 0.70 -1.0 1174 13571 45.66 7.562e+09 2.315e+09 2.224e+58  5.69  2.93  0.86
 2.450 0.30 0.70 -1.0 1169 13916 45.72 7.603e+09 2.433e+09 2.339e+58  5.67  2.94  0.85
 2.500 0.30 0.70 -1.0 1164 14261 45.77 7.641e+09 2.556e+09 2.456e+58  5.64  2.95  0.84
 2.550 0.30 0.70 -1.0 1159 14608 45.82 7.679e+09 2.682e+09 2.577e+58  5.62  2.97  0.84
 2.600 0.30 0.70 -1.0 1154 14956 45.87 7.715e+09 2.811e+09 2.701e+58  5.59  2.98  0.83
 2.650 0.30 0.70 -1.0 1149 15304 45.92 7.750e+09 2.943e+09 2.829e+58  5.57  2.99  0.82
 2.700 0.30 0.70 -1.0 1143 15654 45.97 7.783e+09 3.080e+09 2.959e+58  5.54  3.01  0.81
 2.750 0.30 0.70 -1.0 1138 16005 46.02 7.816e+09 3.219e+09 3.094e+58  5.52  3.02  0.81
 2.800 0.30 0.70 -1.0 1133 16358 46.07 7.848e+09 3.362e+09 3.231e+58  5.49  3.03  0.80
 2.850 0.30 0.70 -1.0 1127 16711 46.11 7.878e+09 3.509e+09 3.372e+58  5.47  3.05  0.79
 2.900 0.30 0.70 -1.0 1122 17065 46.16 7.908e+09 3.659e+09 3.517e+58  5.44  3.06  0.79
 2.950 0.30 0.70 -1.0 1116 17420 46.21 7.937e+09 3.813e+09 3.665e+58  5.41  3.08  0.78
 3.000 0.30 0.70 -1.0 1111 17776 46.25 7.965e+09 3.971e+09 3.816e+58  5.39  3.09  0.77
 3.050 0.30 0.70 -1.0 1105 18133 46.29 7.992e+09 4.132e+09 3.971e+58  5.36  3.11  0.77
 3.100 0.30 0.70 -1.0 1100 18491 46.33 8.018e+09 4.296e+09 4.129e+58  5.33  3.13  0.76
 3.150 0.30 0.70 -1.0 1094 18849 46.38 8.044e+09 4.465e+09 4.291e+58  5.31  3.14  0.76
 3.200 0.30 0.70 -1.0 1089 19209 46.42 8.068e+09 4.637e+09 4.456e+58  5.28  3.16  0.75
 3.250 0.30 0.70 -1.0 1083 19569 46.46 8.092e+09 4.812e+09 4.625e+58  5.25  3.17  0.75
